(787412774028574720, 3)
(743323123869614080, 1)
(3020455940, 13)
(831265373764853760, 1)
(787011646539661320, 2)
(806659315004276740, 1)
(702705000741539840, 1)
(805074778230927360, 1)
(108789800, 2)
(781950920674476040, 1)
(1051852860, 1)
(787952473927475200, 1)
(830505444074455040, 1)
(1728675920, 1)
(40572260, 1)
(807995120805089280, 1)
(708472320155914240, 3)
(931233900, 1)
(818532404746997760, 1)
(799439044274954240, 1)
(715664922634547200, 1)
(1066172540, 1)
(702346972842168320, 1)
(205389960, 1)
(822925135405424640, 1)
(115818520, 1)
(607649940, 1)
(808370230019952640, 1)
(757731953281904640, 1)
(4204921000, 1)
(276611100, 1)
(713648840, 1)
(766443367236526080, 1)
(140345540, 1)
(786375441766461440, 1)
(623313100, 1)
(2480899180, 1)
(305430740, 2)
(822671060596244480, 1)
(780571007484436480, 1)
(57425960, 2)
(789571118248161280, 1)
(1345940180, 3)
(15597820, 1)
(715486168226205700, 1)
(144802060, 1)
(820155948131983360, 1)
(106823960, 2)
(2529006980, 2)
(776159788182999040, 2)
(251625760, 2)
(2868707620, 1)
(42139960, 1)
(1058734400, 1)
(2908269280, 1)
(4478468420, 1)
(762177525288140800, 2)
(195002700, 1)
(56197460, 1)
(17105240, 3)
(719944642402324480, 1)
(44499300, 1)
(1307935080, 2)
(197493100, 1)
(35848560, 1)
(185467260, 1)
(168575040, 2)
(4635820420, 1)
(120291720, 1)
(531235220, 1)
(824596294387855360, 1)
(2982511000, 1)
(824035792259584000, 1)
(703416850596495360, 1)
(21529000, 3)
(2298839480, 1)
(17967860, 1)
(827270492360826880, 1)
(154187900, 1)
(175243720, 1)
(197929720, 1)
(460030420, 1)
(388459260, 1)
(719939675461263360, 1)
(798644166913904640, 1)
(30409200, 1)
(726325427413852160, 1)
(4607492180, 1)
(17334780, 1)
(760093504894894080, 2)
(828517044370944000, 1)
(3128689160, 1)
(26873460, 1)
(2507997720, 1)
(14746140, 1)
(798658514541547520, 1)
(16995760, 1)
(4835770460, 1)
(2890859060, 1)
(2250998340, 1)
(829187338492313600, 1)
(734226996004311040, 1)
